,name,genre,gross,rating,release_year
0,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",936.66,PG-13,2015
1,Jurassic World,"Action, Adventure, Sci-Fi",652.27,PG-13,2015
2,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",459.01,PG-13,2015
3,Inside Out,"Animation, Adventure, Comedy",356.46,PG,2015
4,Furious 7,"Action, Adventure, Thriller",353.01,PG-13,2015
5,Minions,"Animation, Adventure, Comedy",336.05,PG,2015
6,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",281.72,PG-13,2015
7,The Martian,"Adventure, Drama, Sci-Fi",228.43,PG-13,2015
8,Cinderella,"Drama, Family, Fantasy",201.15,PG,2015
9,Spectre,"Action, Adventure, Thriller",200.07,PG-13,2015
10,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",195.04,PG-13,2015
11,Pitch Perfect 2,"Comedy, Music",184.3,PG-13,2015
12,The Revenant,"Action, Adventure, Biography",183.64,R,2015
13,Ant-Man,"Action, Adventure, Comedy",180.2,PG-13,2015
14,Home,"Animation, Adventure, Comedy",177.4,PG,2015
15,Hotel Transylvania 2,"Animation, Comedy, Family",169.7,PG,2015
16,Fifty Shades of Grey,"Drama, Romance, Thriller",166.17,R,2015
17,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy",162.99,PG,2015
18,Straight Outta Compton,"Biography, Drama, History",161.2,R,2015
19,San Andreas,"Action, Adventure, Drama",155.19,PG-13,2015
20,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",154.06,R,2015
21,Daddy's Home,"Comedy, Family",150.36,PG-13,2015
22,Insurgent,"Action, Adventure, Sci-Fi",130.18,PG-13,2015
23,The Peanuts Movie,"Animation, Adventure, Comedy",130.18,G,2015
24,The Good Dinosaur,"Animation, Adventure, Comedy",123.09,PG,2015
25,Spy,"Action, Comedy, Crime",110.83,R,2015
26,Trainwreck,"Comedy, Drama, Romance",110.21,R,2015
27,Creed,"Drama, Sport",109.77,PG-13,2015
28,Tomorrowland,"Action, Adventure, Family",93.44,PG,2015
29,Get Hard,"Comedy, Crime",90.41,R,2015
30,Terminator Genisys,"Action, Adventure, Sci-Fi",89.76,PG-13,2015
31,Sisters,Comedy,87.04,R,2015
